Date,Level
3/1/2014,100
3/2/2014,100
3/3/2014,101.2921745
3/4/2014,101.2921745
3/5/2014,101.2921745
3/6/2014,101.2921745
3/7/2014,101.4584365
3/8/2014,101.4584365
3/9/2014,101.4584365
3/10/2014,101.4584365
3/11/2014,101.4584365
3/12/2014,101.491695
3/13/2014,101.491695
3/14/2014,101.5389166
3/15/2014,101.5389166
3/16/2014,101.5389166
3/17/2014,101.5389166
3/18/2014,103.0760837
3/19/2014,103.0760837
3/20/2014,103.0760837
3/21/2014,103.0760837
3/22/2014,103.0760837
3/23/2014,103.0760837
3/24/2014,103.0760837
3/25/2014,103.0760837
3/26/2014,103.0760837
3/27/2014,103.0760837
3/28/2014,103.0760837
3/29/2014,103.0760837
3/30/2014,103.0760837
3/31/2014,103.0760837
4/1/2014,103.0760837
4/2/2014,103.0760837
4/3/2014,103.0760837
4/4/2014,103.0760837
4/5/2014,103.0760837
4/6/2014,103.0760837
4/7/2014,103.0760837
4/8/2014,103.0760837
4/9/2014,103.0760837
4/10/2014,103.0760837
4/11/2014,103.0760837
4/12/2014,103.0760837
4/13/2014,103.0760837
4/14/2014,103.0760837
4/15/2014,103.0760837
4/16/2014,103.0760837
4/17/2014,103.0972857
4/18/2014,103.0972857
4/19/2014,103.0972857
4/20/2014,103.0972857
4/21/2014,103.0972857
4/22/2014,103.0972857
4/23/2014,103.0972857
4/24/2014,103.0972857
4/25/2014,103.0397592
4/26/2014,103.0397592
4/27/2014,103.0397592
4/28/2014,103.0397592
4/29/2014,103.0397592
4/30/2014,103.1000618
5/1/2014,103.6544284
5/2/2014,104.3314675
5/3/2014,104.3314675
5/4/2014,104.3314675
5/5/2014,104.3314675
5/6/2014,104.6518229
5/7/2014,105.1864043
5/8/2014,106.9171909
5/9/2014,107.3985347
5/10/2014,107.3985347
5/11/2014,107.3985347
5/12/2014,107.4398569
5/13/2014,107.4398569
5/14/2014,107.4398569
5/15/2014,107.4398569
5/16/2014,107.4398569
5/17/2014,107.4398569
5/18/2014,107.4398569
5/19/2014,107.4398569
5/20/2014,107.4398569
5/21/2014,107.4398569
5/22/2014,107.4398569
5/23/2014,107.4398569
5/24/2014,107.4398569
5/25/2014,107.4398569
5/26/2014,107.4398569
5/27/2014,107.4398569
5/28/2014,107.4398569
5/29/2014,107.4398569
5/30/2014,107.4398569
5/31/2014,107.4398569
6/1/2014,107.4398569
6/2/2014,107.4398569
6/3/2014,107.4398569
6/4/2014,107.4398569
6/5/2014,107.4398569
6/6/2014,107.5186911
6/7/2014,107.5186911
6/8/2014,107.5186911
6/9/2014,107.5186911
6/10/2014,107.5186911
6/11/2014,107.5186911
6/12/2014,107.5186911
6/13/2014,107.5186911
6/14/2014,107.5186911
6/15/2014,107.5186911
6/16/2014,107.5186911
6/17/2014,107.5186911
6/18/2014,107.5186911
6/19/2014,107.5186911
6/20/2014,107.5186911
6/21/2014,107.5186911
6/22/2014,107.5186911
6/23/2014,107.5186911
6/24/2014,107.5186911
6/25/2014,107.5186911
6/26/2014,107.5186911
6/27/2014,107.5186911
6/28/2014,107.5186911
6/29/2014,107.5186911
6/30/2014,107.5186911
7/1/2014,107.5186911
7/2/2014,107.5186911
7/3/2014,107.5186911
7/4/2014,107.5186911
7/5/2014,107.5186911
7/6/2014,107.5186911
7/7/2014,107.5186911
7/8/2014,107.5186911
7/9/2014,107.5186911
7/10/2014,107.5186911
7/11/2014,107.5186911
7/12/2014,107.5186911
7/13/2014,107.5186911
7/14/2014,107.5186911
7/15/2014,107.5186911
7/16/2014,107.5186911
7/17/2014,107.5186911
7/18/2014,107.5186911
7/19/2014,107.5186911
7/20/2014,107.5186911
7/21/2014,107.5186911
7/22/2014,107.5186911
7/23/2014,107.5186911
7/24/2014,107.5186911
7/25/2014,107.4803295
7/26/2014,107.4803295
7/27/2014,107.4803295
7/28/2014,107.4803295
7/29/2014,107.4803295
7/30/2014,107.6255048
7/31/2014,108.169651
8/1/2014,108.4369522
8/2/2014,108.4369522
8/3/2014,108.4369522
8/4/2014,108.4369522
8/5/2014,108.5544018
8/6/2014,108.8899116
8/7/2014,110.2838245
8/8/2014,112.8243387
8/9/2014,112.8243387
8/10/2014,112.8243387
8/11/2014,112.6809506
8/12/2014,112.6809506
8/13/2014,112.6809506
8/14/2014,112.6809506
8/15/2014,112.6809506
8/16/2014,112.6809506
8/17/2014,112.6809506
8/18/2014,112.7081579
8/19/2014,112.7081579
8/20/2014,112.7081579
8/21/2014,112.7081579
8/22/2014,112.7081579
8/23/2014,112.7081579
8/24/2014,112.7081579
8/25/2014,112.7081579
8/26/2014,112.7081579
8/27/2014,112.7014573
8/28/2014,112.7014573
8/29/2014,112.7014573
8/30/2014,112.7014573
8/31/2014,112.7014573
9/1/2014,112.7014573
9/2/2014,112.7014573
9/3/2014,112.7014573
9/4/2014,112.7014573
9/5/2014,112.7621768
9/6/2014,112.7621768
9/7/2014,112.7621768
9/8/2014,112.7621768
9/9/2014,112.7621768
9/10/2014,112.7621768
9/11/2014,112.7621768
9/12/2014,112.7621768
9/13/2014,112.7621768
9/14/2014,112.7621768
9/15/2014,112.7621768
9/16/2014,112.7621768
9/17/2014,112.7621768
9/18/2014,112.7621768
9/19/2014,112.7621768
9/20/2014,112.7621768
9/21/2014,112.7621768
9/22/2014,112.7621768
9/23/2014,112.7621768
9/24/2014,112.7621768
9/25/2014,112.7621768
9/26/2014,112.7621768
9/27/2014,112.7621768
9/28/2014,112.7621768
9/29/2014,112.7621768
9/30/2014,112.7621768
10/1/2014,112.7621768
10/2/2014,112.7621768
10/3/2014,112.7621768
10/4/2014,112.7621768
10/5/2014,112.7621768
10/6/2014,112.7621768
10/7/2014,112.7621768
10/8/2014,112.7621768
10/9/2014,112.7621768
10/10/2014,112.7621768
10/11/2014,112.7621768
10/12/2014,112.7621768
10/13/2014,112.7621768
10/14/2014,112.7621768
10/15/2014,112.7621768
10/16/2014,112.7621768
10/17/2014,112.7621768
10/18/2014,112.7621768
10/19/2014,112.7621768
10/20/2014,112.7621768
10/21/2014,112.7621768
10/22/2014,112.7621768
10/23/2014,112.7815074
10/24/2014,112.8022406
10/25/2014,112.8022406
10/26/2014,112.8022406
10/27/2014,112.8022406
10/28/2014,112.8022406
10/29/2014,113.2674292
10/30/2014,113.7580066
10/31/2014,113.956338
11/1/2014,113.956338
11/2/2014,113.956338
11/3/2014,113.956338
11/4/2014,114.07051
11/5/2014,114.0713735
11/6/2014,117.1787054
11/7/2014,117.5515195
11/8/2014,117.5515195
11/9/2014,117.5515195
11/10/2014,117.5872837
11/11/2014,117.5872837
11/12/2014,117.5872837
11/13/2014,117.5872837
11/14/2014,117.5872837
11/15/2014,117.5872837
11/16/2014,117.5872837
11/17/2014,117.5872837
11/18/2014,117.5872837
11/19/2014,117.5872837
11/20/2014,117.5872837
11/21/2014,117.5872837
11/22/2014,117.5872837
11/23/2014,117.5872837
11/24/2014,117.5872837
11/25/2014,117.5872837
11/26/2014,117.5872837
11/27/2014,117.5872837
11/28/2014,117.5872837
11/29/2014,117.5872837
11/30/2014,117.5872837
12/1/2014,117.5872837
12/2/2014,117.5872837
12/3/2014,117.5872837
12/4/2014,117.5872837
12/5/2014,117.5872837
12/6/2014,117.5872837
12/7/2014,117.5872837
12/8/2014,117.5872837
12/9/2014,117.5872837
12/10/2014,117.5872837
12/11/2014,117.5872837
12/12/2014,117.5872837
12/13/2014,117.5872837
12/14/2014,117.5872837
12/15/2014,117.5872837
12/16/2014,117.5872837
12/17/2014,117.5872837
12/18/2014,117.5872837
12/19/2014,117.627633
12/20/2014,117.627633
12/21/2014,117.627633
12/22/2014,117.627633
12/23/2014,117.627633
12/24/2014,117.627633
12/25/2014,117.627633
12/26/2014,117.627633
12/27/2014,117.627633
12/28/2014,117.627633
12/29/2014,117.627633
12/30/2014,117.627633
12/31/2014,117.627633
1/1/2015,117.627633
1/2/2015,117.627633
1/3/2015,117.627633
1/4/2015,117.627633
1/5/2015,117.627633
1/6/2015,117.627633
1/7/2015,117.627633
1/8/2015,117.627633
1/9/2015,117.627633
1/10/2015,117.627633
1/11/2015,117.627633
1/12/2015,117.627633
1/13/2015,117.627633
1/14/2015,117.627633
1/15/2015,117.627633
1/16/2015,117.627633
1/17/2015,117.627633
1/18/2015,117.627633
1/19/2015,117.627633
1/20/2015,117.627633
1/21/2015,117.627633
1/22/2015,117.627633
1/23/2015,117.627633
1/24/2015,117.627633
1/25/2015,117.627633
1/26/2015,117.627633
1/27/2015,117.627633
1/28/2015,117.627633
1/29/2015,117.627633
1/30/2015,117.627633
1/31/2015,117.627633
2/1/2015,117.627633
2/2/2015,117.627633
2/3/2015,117.627633
2/4/2015,117.627633
2/5/2015,117.627633
2/6/2015,117.627633
