Date,Level
10/21/14,102.1007504
10/22/14,102.1083992
10/23/14,103.8052325
10/24/14,103.8449271
10/25/14,103.8449271
10/26/14,103.8449271
10/27/14,103.8449271
10/28/14,103.5688219
10/29/14,103.5688219
10/30/14,103.5834039
10/31/14,103.5834039
11/1/14,103.5834039
11/2/14,103.5834039
11/3/14,103.5834039
11/4/14,103.6972946
11/5/14,103.7613882
11/6/14,103.7787933
11/7/14,103.8089391
11/8/14,103.8089391
11/9/14,103.8089391
11/10/14,103.8089391
11/11/14,103.8089391
11/12/14,103.8089391
11/13/14,103.8089391
11/14/14,103.8089391
11/15/14,103.8089391
11/16/14,103.8089391
11/17/14,103.8089391
11/18/14,103.8089391
11/19/14,103.8089391
11/20/14,103.8089391
11/21/14,103.8266096
11/22/14,103.8266096
11/23/14,103.8266096
11/24/14,103.8266096
11/25/14,103.8492864
11/26/14,103.9580025
11/27/14,103.9580025
11/28/14,103.9580025
11/29/14,103.9580025
11/30/14,103.9580025
12/1/14,103.9580025
12/2/14,103.9580025
12/3/14,103.9580025
12/4/14,103.9580025
12/5/14,104.0110132
12/6/14,104.0110132
12/7/14,104.0110132
12/8/14,104.0110132
12/9/14,104.0110132
12/10/14,104.0242293
12/11/14,104.0242293
12/12/14,104.0242293
12/13/14,104.0242293
12/14/14,104.0242293
12/15/14,104.0242293
12/16/14,104.0242293
12/17/14,104.0242293
12/18/14,104.0242293
12/19/14,104.1383805
12/20/14,104.1383805
12/21/14,104.1383805
12/22/14,104.1383805
12/23/14,104.1383805
12/24/14,104.1383805
12/25/14,104.1383805
12/26/14,104.1383805
12/27/14,104.1383805
12/28/14,104.1383805
12/29/14,104.1383805
12/30/14,104.1383805
12/31/14,104.1383805
1/1/15,104.1383805
1/2/15,104.1383805
1/3/15,104.1383805
1/4/15,104.1383805
1/5/15,104.1383805
1/6/15,104.1383805
1/7/15,104.1383805
1/8/15,104.1383805
1/9/15,104.1383805
1/10/15,104.1383805
1/11/15,104.1383805
