Date,Level
3/1/14,100
3/2/14,100
3/3/14,99.67077613
3/4/14,99.67077613
3/5/14,99.50524216
3/6/14,99.50524216
3/7/14,99.50524216
3/8/14,99.50524216
3/9/14,99.50524216
3/10/14,99.46963936
3/11/14,99.46963936
3/12/14,99.46963936
3/13/14,99.46963936
3/14/14,99.46963936
3/15/14,99.46963936
3/16/14,99.46963936
3/17/14,99.46963936
3/18/14,99.46963936
3/19/14,99.46963936
3/20/14,99.57506511
3/21/14,99.57506511
3/22/14,99.57506511
3/23/14,99.57506511
3/24/14,99.57506511
3/25/14,99.57506511
3/26/14,99.57506511
3/27/14,99.57506511
3/28/14,99.60052111
3/29/14,99.60052111
3/30/14,99.60052111
3/31/14,99.51150203
4/1/14,99.51150203
4/2/14,99.51150203
4/3/14,99.51150203
4/4/14,99.51150203
4/5/14,99.51150203
4/6/14,99.51150203
4/7/14,99.51150203
4/8/14,99.51150203
4/9/14,99.51150203
4/10/14,99.51150203
4/11/14,99.51150203
4/12/14,99.51150203
4/13/14,99.51150203
4/14/14,99.51150203
4/15/14,99.51150203
4/16/14,99.51150203
4/17/14,99.51150203
4/18/14,99.51150203
4/19/14,99.51150203
4/20/14,99.51150203
4/21/14,99.43279739
4/22/14,99.43279739
4/23/14,99.43865629
4/24/14,99.49419492
4/25/14,99.51058949
4/26/14,99.51058949
4/27/14,99.51058949
4/28/14,99.51058949
4/29/14,98.45295667
4/30/14,98.45295667
5/1/14,98.46249511
5/2/14,98.53814932
5/3/14,98.53814932
5/4/14,98.53814932
5/5/14,98.53814932
5/6/14,98.24995853
5/7/14,98.221739
5/8/14,98.221739
5/9/14,98.23452835
5/10/14,98.23452835
5/11/14,98.23452835
5/12/14,98.23452835
5/13/14,98.23452835
5/14/14,98.14247958
5/15/14,98.14247958
5/16/14,98.17186052
5/17/14,98.17186052
5/18/14,98.17186052
5/19/14,98.17186052
5/20/14,98.17186052
5/21/14,98.52788845
5/22/14,98.52788845
5/23/14,98.52788845
5/24/14,98.52788845
5/25/14,98.52788845
5/26/14,98.52788845
5/27/14,98.52788845
5/28/14,98.52788845
5/29/14,98.52788845
5/30/14,98.47743964
5/31/14,98.47743964
6/1/14,98.47743964
6/2/14,98.47743964
6/3/14,98.18949773
6/4/14,98.18949773
6/5/14,98.18949773
6/6/14,98.14391579
6/7/14,98.14391579
6/8/14,98.14391579
6/9/14,98.08408063
6/10/14,98.08408063
6/11/14,98.08408063
6/12/14,98.08408063
6/13/14,98.08408063
6/14/14,98.08408063
6/15/14,98.08408063
6/16/14,98.08408063
6/17/14,98.08408063
6/18/14,98.08408063
6/19/14,98.08408063
6/20/14,98.08408063
6/21/14,98.08408063
6/22/14,98.08408063
6/23/14,98.08408063
6/24/14,98.08408063
6/25/14,98.10478728
6/26/14,97.82826073
6/27/14,97.82826073
6/28/14,97.82826073
6/29/14,97.82826073
6/30/14,97.82826073
7/1/14,97.82826073
7/2/14,97.82826073
7/3/14,97.82826073
7/4/14,97.82826073
7/5/14,97.82826073
7/6/14,97.82826073
7/7/14,97.82826073
7/8/14,97.82826073
7/9/14,97.82826073
7/10/14,97.82826073
7/11/14,97.82826073
7/12/14,97.82826073
7/13/14,97.82826073
7/14/14,97.82826073
7/15/14,97.82826073
7/16/14,97.82826073
7/17/14,97.82826073
7/18/14,97.82826073
7/19/14,97.82826073
7/20/14,97.82826073
7/21/14,97.85216991
7/22/14,97.85216991
7/23/14,97.86200907
7/24/14,97.86200907
7/25/14,97.88980344
7/26/14,97.88980344
7/27/14,97.88980344
7/28/14,97.88980344
7/29/14,99.47273473
7/30/14,99.47273473
7/31/14,98.25943302
8/1/14,98.25943302
8/2/14,98.25943302
8/3/14,98.25943302
8/4/14,98.25943302
8/5/14,98.44221016
8/6/14,98.6500406
8/7/14,98.74153978
8/8/14,98.87807476
8/9/14,98.87807476
8/10/14,98.87807476
8/11/14,98.87807476
8/12/14,98.87807476
8/13/14,98.87807476
8/14/14,98.87807476
8/15/14,98.87807476
8/16/14,98.87807476
8/17/14,98.87807476
8/18/14,98.87807476
8/19/14,98.87807476
8/20/14,98.87807476
8/21/14,98.87807476
8/22/14,98.87807476
8/23/14,98.87807476
8/24/14,98.87807476
8/25/14,98.87807476
8/26/14,98.64010466
8/27/14,98.64518583
8/28/14,98.64518583
8/29/14,98.64518583
8/30/14,98.64518583
8/31/14,98.64518583
9/1/14,98.64518583
9/2/14,98.53520258
9/3/14,98.53520258
9/4/14,98.53520258
9/5/14,98.53520258
9/6/14,98.53520258
9/7/14,98.53520258
9/8/14,98.53520258
9/9/14,98.45381909
9/10/14,98.45381909
9/11/14,98.45381909
9/12/14,98.43135131
9/13/14,98.43135131
9/14/14,98.43135131
9/15/14,98.43135131
9/16/14,98.43135131
9/17/14,98.43135131
9/18/14,98.40331497
9/19/14,98.40331497
9/20/14,98.40331497
9/21/14,98.40331497
9/22/14,98.40331497
9/23/14,98.39121694
9/24/14,98.39121694
9/25/14,98.32499574
9/26/14,98.32499574
9/27/14,98.32499574
9/28/14,98.32499574
9/29/14,98.32499574
9/30/14,98.32499574
10/1/14,98.32499574
10/2/14,98.32499574
10/3/14,98.32499574
10/4/14,98.32499574
10/5/14,98.32499574
10/6/14,98.32499574
10/7/14,98.32499574
10/8/14,98.32499574
10/9/14,98.32499574
10/10/14,98.32499574
10/11/14,98.32499574
10/12/14,98.32499574
10/13/14,98.32499574
10/14/14,98.32499574
10/15/14,98.32499574
10/16/14,98.32499574
10/17/14,98.32499574
10/18/14,98.32499574
10/19/14,98.32499574
