Date,Index Level
2014-03-01,100
2014-03-02,100
2014-03-03,100
2014-03-04,100
2014-03-05,100
2014-03-06,100
2014-03-07,100
2014-03-08,100
2014-03-09,100
2014-03-10,100
2014-03-11,100
2014-03-12,100
2014-03-13,100
2014-03-14,100
2014-03-15,100
2014-03-16,100
2014-03-17,100
2014-03-18,100
2014-03-19,100
2014-03-20,100
2014-03-21,100
2014-03-22,100
2014-03-23,100
2014-03-24,100
2014-03-25,100
2014-03-26,100
2014-03-27,100
2014-03-28,100
2014-03-29,100
2014-03-30,100
2014-03-31,100
2014-04-01,100
2014-04-02,100
2014-04-03,100
2014-04-04,100
2014-04-05,100
2014-04-06,100
2014-04-07,100
2014-04-08,100
2014-04-09,100
2014-04-10,100
2014-04-11,100
2014-04-12,100
2014-04-13,100
2014-04-14,100
2014-04-15,100
2014-04-16,100
2014-04-17,100
2014-04-18,100
2014-04-19,100
2014-04-20,100
2014-04-21,100
2014-04-22,100
2014-04-23,100.0972772
2014-04-24,101.6058405
2014-04-25,102.4720104
2014-04-26,102.4720104
2014-04-27,102.4720104
2014-04-28,102.4720104
2014-04-29,102.4720104
2014-04-30,102.4720104
2014-05-01,102.4720104
2014-05-02,102.4720104
2014-05-03,102.4720104
2014-05-04,102.4720104
2014-05-05,102.4720104
2014-05-06,102.4720104
2014-05-07,102.4720104
2014-05-08,102.4720104
2014-05-09,102.4720104
2014-05-10,102.4720104
2014-05-11,102.4720104
2014-05-12,102.4720104
2014-05-13,102.4720104
2014-05-14,102.4720104
2014-05-15,102.4720104
2014-05-16,102.4720104
2014-05-17,102.4720104
2014-05-18,102.4720104
2014-05-19,102.4720104
2014-05-20,102.4720104
2014-05-21,102.4720104
2014-05-22,102.4720104
2014-05-23,102.4720104
2014-05-24,102.4720104
2014-05-25,102.4720104
2014-05-26,102.4720104
2014-05-27,102.4720104
2014-05-28,102.4720104
2014-05-29,102.4720104
2014-05-30,102.4720104
2014-05-31,102.4720104
2014-06-01,102.4720104
2014-06-02,102.4720104
2014-06-03,102.4720104
2014-06-04,102.4720104
2014-06-05,102.4720104
2014-06-06,102.4720104
2014-06-07,102.4720104
2014-06-08,102.4720104
2014-06-09,102.4720104
2014-06-10,102.4720104
2014-06-11,102.4720104
2014-06-12,102.4720104
2014-06-13,102.4720104
2014-06-14,102.4720104
2014-06-15,102.4720104
2014-06-16,102.4720104
2014-06-17,102.4720104
2014-06-18,102.4720104
2014-06-19,102.4720104
2014-06-20,102.4720104
2014-06-21,102.4720104
2014-06-22,102.4720104
2014-06-23,102.4720104
2014-06-24,102.4720104
2014-06-25,102.4720104
2014-06-26,102.4720104
2014-06-27,102.4720104
2014-06-28,102.4720104
2014-06-29,102.4720104
2014-06-30,102.4720104
2014-07-01,102.4720104
2014-07-02,102.4720104
2014-07-03,102.4720104
2014-07-04,102.4720104
2014-07-05,102.4720104
2014-07-06,102.4720104
2014-07-07,102.4720104
2014-07-08,102.4720104
2014-07-09,102.4720104
2014-07-10,102.4720104
2014-07-11,102.4720104
2014-07-12,102.4720104
2014-07-13,102.4720104
2014-07-14,102.4720104
2014-07-15,102.4720104
2014-07-16,102.4720104
2014-07-17,102.4720104
2014-07-18,102.4720104
2014-07-19,102.4720104
2014-07-20,102.4720104
2014-07-21,102.4720104
2014-07-22,102.5521591
2014-07-23,104.1880435
2014-07-24,105.0715754
2014-07-25,105.2162586
2014-07-26,105.2162586
2014-07-27,105.2162586
2014-07-28,105.2162586
2014-07-29,105.2162586
2014-07-30,105.2162586
2014-07-31,105.2162586
2014-08-01,105.2162586
2014-08-02,105.2162586
2014-08-03,105.2162586
2014-08-04,105.2162586
2014-08-05,105.2162586
2014-08-06,105.2162586
2014-08-07,105.2162586
2014-08-08,105.2162586
2014-08-09,105.2162586
2014-08-10,105.2162586
2014-08-11,105.2162586
2014-08-12,105.2162586
2014-08-13,105.2162586
2014-08-14,105.2162586
2014-08-15,105.2162586
2014-08-16,105.2162586
2014-08-17,105.2162586
2014-08-18,105.2162586
2014-08-19,105.2162586
2014-08-20,105.2162586
2014-08-21,105.2162586
2014-08-22,105.2162586
2014-08-23,105.2162586
2014-08-24,105.2162586
2014-08-25,105.2162586
2014-08-26,105.2162586
2014-08-27,105.2162586
2014-08-28,105.2162586
2014-08-29,105.2162586
2014-08-30,105.2162586
2014-08-31,105.2162586
2014-09-01,105.2162586
2014-09-02,105.2162586
2014-09-03,105.2162586
