ticker,Company Name
AMCX,AMC NETWORKS INC.
BATRA,LIBERTY MEDIA CORP
CHTR,"CHARTER COMMUNICATIONS, INC. /MO/"
CMCSA,COMCAST CORP
DISCA,"DISCOVERY, INC."
DISH,DISH NETWORK CORP
ENT,GLOBAL EAGLE ENTERTAINMENT INC.
GILT,GILAT SATELLITE NETWORKS LTD
GNUS,"GENIUS BRANDS INTERNATIONAL, INC."
MSGN,MSG NETWORKS INC.
PNTV,PLAYERS NETWORK
SATS,ECHOSTAR CORP
SIRI,SIRIUS XM HOLDINGS INC.
VIA,VIACOM INC.
